handle,month,tweet_count,average_score,average_magnitude
AfD,12/2020,6,0.05000000074505806,0.4166666778425376
AfD,11/2020,7,-0.014285714498588018,0.6999999965940203
AfD,10/2020,19,0.09473684430122375,0.5842105350212047
AfD,09/2020,30,-0.02000000054637591,0.44333333720763524
AfD,08/2020,13,0.03846153903466005,0.2692307715232556
AfD,07/2020,6,0.18333333233992258,0.9000000084439913
AfD,06/2020,5,-0.03999999910593033,0.5599999979138375
AfD,05/2020,10,0.05999999940395355,0.5800000093877316
AfD,04/2020,14,0.07142857249294009,0.3500000089406967
AfD,03/2020,19,0.1000000030586594,0.6052631669138607
AfD,04/2018,1,-0.20000000298023224,0.800000011920929
AfDimEUParl,12/2020,9,-0.05555555886692471,0.4555555590324932
AfDimEUParl,11/2020,5,0.020000001788139342,0.439999994635582
AfDimEUParl,10/2020,16,0.1312500019557774,0.3937500063329935
AfDimEUParl,09/2020,13,0.12307692376466897,0.5000000097430669
AfDimEUParl,08/2020,5,0.12000000327825547,0.40000000298023225
AfDimEUParl,07/2020,3,0.06666667014360428,0.30000001192092896
AfDimEUParl,06/2020,2,0.0,1.0999999642372131
AfDimEUParl,05/2020,5,0.08000000268220901,0.5000000089406967
AfDimEUParl,04/2020,7,0.24285714434725897,0.6857142852885383
AfDimEUParl,03/2020,7,-0.028571427932807376,0.2428571486047336
AfDimEUParl,02/2020,4,0.02499999850988388,0.550000011920929
AfDimEUParl,01/2020,2,0.10000000149011612,0.6500000134110451
AfDimEUParl,11/2019,1,0.10000000149011612,0.30000001192092896
AfDimEUParl,10/2019,6,0.0833333358168602,0.8833333353201548
AfDimEUParl,09/2019,1,0.0,1.7999999523162842
AfDimEUParl,07/2019,1,0.0,0.4000000059604645
AfDimEUParl,11/2018,2,0.25,0.5
AfDimEUParl,08/2018,1,0.10000000149011612,0.8999999761581421
AfD_Bayern,12/2020,8,-0.16250000149011612,0.2750000050291419
AfD_Bayern,11/2020,9,0.06666666931576198,0.5222222316596243
AfD_Bayern,10/2020,27,0.07037037224681289,0.42222222106324303
AfD_Bayern,09/2020,19,0.0789473695974601,0.40000000713687195
AfD_Bayern,08/2020,11,-0.027272727679122578,0.3272727314721454
AfD_Bayern,07/2020,12,0.14166666691501936,0.48333333370586234
AfD_Bayern,06/2020,10,0.10000000223517418,0.33000000566244125
AfD_Bayern,05/2020,7,0.10000000255448478,0.45714286395481657
AfD_Bayern,04/2020,14,0.09285714424082211,0.31428571896893637
AfD_Bayern,03/2020,35,0.10857143104076386,0.42571429099355423
AfD_Bayern,02/2020,20,0.08500000201165676,0.33500000312924383
AfD_Bayern,01/2020,14,0.11428571492433548,0.3785714294229235
AfD_Bayern,12/2019,12,0.0,0.40000000409781933
AfD_Bayern,11/2019,17,0.08823529762380264,0.447058820987449
AfD_Bayern,10/2019,12,-0.0666666670391957,0.3749999975164731
AfD_Bayern,09/2019,12,0.17500000012417635,0.3500000014901161
AfD_Bayern,08/2019,10,-0.010000000894069671,0.3600000008940697
AfD_Bayern,07/2019,18,-0.07777777976459926,0.350000003973643
AfD_Bayern,06/2019,11,0.045454548841173,0.3454545431516387
AfD_Bayern,05/2019,29,0.08620689835014014,0.5586206918132717
AfD_Bayern,04/2019,16,0.06250000093132257,0.5000000004656613
AfD_Bayern,03/2019,28,0.021428569353052547,0.41428571726594654
AfD_Bayern,02/2019,17,0.05294117725947324,0.5000000013148084
AfD_Bayern,01/2019,33,0.09393939466187448,0.6303030383406263
AfD_Bayern,12/2018,36,0.0305555568387111,0.4722222251196702
AfD_Bayern,11/2018,71,0.09718309972487704,0.49577464981817865
AfD_Bayern,10/2018,44,0.061363638124682686,0.534090909937566
AfD_Bayern,09/2018,37,0.059459460748208535,0.6756756740647394
AfD_Bayern,08/2018,41,0.07073170837105774,0.5414634159788853
AfD_Bayern,07/2018,44,0.0840909110212868,0.6090909102084962
AfD_Bayern,06/2018,44,0.12954545715315777,0.9068181850016117
AfD_Bayern,05/2018,33,0.03939394043250517,0.4787878841161728
AfD_Bayern,04/2018,38,0.07631579139514973,0.7289473743815171
AfD_Bayern,03/2018,49,0.018367347212470308,0.6693877609712737
AfD_Bayern,02/2018,36,0.07222222516106235,0.46666666782564586
AfD_Bayern,01/2018,23,0.13478261264769928,0.7956521857691847
AfD_Bayern,12/2017,10,0.07000000178813934,0.6700000025331974
AfD_Bayern,11/2017,77,0.08701298898690707,0.45844156111215617
AfD_Bayern,10/2017,123,0.12195122229859112,0.5260162629732271
AfD_Bayern,09/2017,141,0.12056737810584671,0.5085106424406065
AfD_Bayern,08/2017,122,0.07131147677781152,0.4229508252417455
AfD_Bayern,07/2017,75,0.12133333603541056,0.6013333402077357
AfD_Bayern,06/2017,14,0.06428571577583041,0.3142857109861715
AfD_Bayern,03/2017,1,0.30000001192092896,0.30000001192092896
AfD_Bayern,01/2017,2,0.25,0.550000011920929
AfD_Bayern,12/2016,5,0.04000000059604645,0.27999999821186067
AfD_Bayern,10/2016,1,0.20000000298023224,0.20000000298023224
AfD_Bayern,09/2016,4,0.10000000149011612,0.5500000063329935
AfD_Bayern,08/2016,4,0.27500000409781933,0.27500000409781933
AfD_Bayern,07/2016,3,0.06666666766007741,0.46666666120290756
AfD_Bayern,06/2016,4,0.02500000037252903,0.2000000048428774
AfD_Bayern,05/2016,3,0.20000000298023224,0.6000000139077505
AfD_Bayern,04/2016,1,0.0,0.0
AfD_Bayern,03/2016,3,0.30000001192092896,0.8333333333333334
AfD_Bayern,02/2016,1,-0.30000001192092896,0.30000001192092896
