handle,month,tweet_count,average_score,average_magnitude
AfD,12/2020,31,0.03870967871719791,0.46774194077137976
AfD,11/2020,31,0.09677419475009365,0.5225806466994747
AfD,10/2020,48,0.08333333395421505,0.45416666675979894
AfD,09/2020,48,0.050000000124176346,0.4041666692743699
AfD,08/2020,36,0.07500000173846881,0.28055555787351394
AfD,07/2020,26,0.06923076854302333,0.31153846388826
AfD,06/2020,41,0.0951219528186612,0.3804878076402152
AfD,05/2020,40,0.042500000447034836,0.4225000051781535
AfD,04/2020,33,0.10909091094226549,0.3303030322898518
AfD,03/2020,42,0.08809523798880123,0.3023809559998058
AfD,09/2019,1,0.30000001192092896,1.0
AfD,09/2017,15,0.28000000566244126,0.9600000103314718
AfD,08/2017,3,0.1666666716337204,0.6000000238418579
AfD,05/2017,1,0.30000001192092896,0.30000001192092896
AfD,03/2013,1,0.0,0.0
AfD,01/2013,1,0.0,0.4000000059604645
AfDimEUParl,12/2020,8,-0.06249999813735485,0.525000006891787
AfDimEUParl,11/2020,11,0.054545456035570664,0.5454545420679179
AfDimEUParl,10/2020,13,0.04615384626847047,0.2769230850614034
AfDimEUParl,09/2020,12,0.008333334078391394,0.4916666659216086
AfDimEUParl,08/2020,4,0.05000000074505806,0.15000000223517418
AfDimEUParl,07/2020,11,0.1454545489766381,0.5636363666165959
AfDimEUParl,06/2020,7,-0.028571427932807376,0.32857142708131243
AfDimEUParl,05/2020,9,-0.11111111028326882,0.43333333482344943
AfDimEUParl,04/2020,6,0.08333333457509677,0.7666666793326536
AfDimEUParl,03/2020,6,0.18333333730697632,0.6999999930461248
AfDimEUParl,02/2020,6,0.1666666679084301,0.4833333380520344
AfDimEUParl,01/2020,7,0.1285714294229235,0.7142857228006635
AfDimEUParl,12/2019,4,0.125,0.25000000186264515
AfDimEUParl,11/2019,4,0.22500000149011612,0.9749999828636646
AfDimEUParl,10/2019,10,0.0800000011920929,1.030000002682209
AfDimEUParl,09/2019,4,0.1249999962747097,0.8249999899417162
AfDimEUParl,08/2019,1,0.4000000059604645,0.4000000059604645
AfDimEUParl,07/2019,2,0.10000000149011612,0.15000000223517418
AfDimEUParl,06/2019,1,0.20000000298023224,0.6000000238418579
AfDimEUParl,04/2019,1,0.30000001192092896,0.699999988079071
AfDimEUParl,03/2019,1,0.30000001192092896,0.6000000238418579
AfDimEUParl,01/2019,1,0.0,0.0
AfDimEUParl,12/2018,1,0.10000000149011612,0.10000000149011612
AfDimEUParl,11/2018,1,0.20000000298023224,0.8999999761581421
AfDimEUParl,10/2018,4,0.1750000063329935,0.6250000167638063
AfDimEUParl,09/2018,3,0.033333333830038704,0.033333333830038704
AfDimEUParl,08/2018,1,0.0,0.0
AfDimEUParl,07/2018,1,0.30000001192092896,1.100000023841858
AfDimEUParl,06/2018,1,-0.10000000149011612,0.10000000149011612
AfD_Bayern,12/2020,58,0.09827586391876483,0.44482759155076124
AfD_Bayern,11/2020,61,0.04918032811313379,0.40491803735494614
AfD_Bayern,10/2020,39,0.05897436004418593,0.40256410512404567
AfD_Bayern,09/2020,41,0.07317073352453185,0.4585365900179235
AfD_Bayern,08/2020,49,0.01836734782068097,0.3448979623463689
AfD_Bayern,07/2020,37,0.024324324485417957,0.48108108764564667
AfD_Bayern,06/2020,46,0.058695652562638985,0.4195652216996836
AfD_Bayern,05/2020,38,0.1184210553765297,0.34210526747138875
AfD_Bayern,04/2020,42,0.092857145127796,0.45714286005213145
AfD_Bayern,03/2020,77,0.014285714982391952,0.4103896144729156
AfD_Bayern,02/2020,65,0.04307692326032198,0.3538461561386402
AfD_Bayern,01/2020,51,0.07450980605447993,0.43921568931317795
AfD_Bayern,12/2019,39,0.1179487210435745,0.4128205162974504
AfD_Bayern,11/2019,29,0.10689655280318754,0.42413793555621443
AfD_Bayern,10/2019,32,0.05937500158324838,0.3906250027939677
AfD_Bayern,09/2019,26,0.046153847414713636,0.330769236271198
AfD_Bayern,08/2019,23,0.07826087073139522,0.35652174249939295
AfD_Bayern,07/2019,33,0.14545454694466156,0.5151515185381427
AfD_Bayern,06/2019,27,0.1111111111111111,0.5296296284154609
AfD_Bayern,05/2019,27,0.04444444483077085,0.3740740727495264
AfD_Bayern,04/2019,31,0.10322580702843205,0.39354839079803033
AfD_Bayern,03/2019,31,0.06774193625296315,0.406451616796755
AfD_Bayern,02/2019,33,0.07878788018768484,0.4151515150160501
AfD_Bayern,01/2019,48,0.06875000133489569,0.4937499997516473
AfD_Bayern,12/2018,27,0.11481481790542603,0.38888889247620545
AfD_Bayern,11/2018,23,-0.017391304930915005,0.4304347844875377
AfD_Bayern,10/2018,61,0.16065574070957842,0.7114754155522487
AfD_Bayern,09/2018,53,0.10754717253851441,0.6188679278459189
AfD_Bayern,08/2018,31,0.07419355021369073,0.6032258106335517
AfD_Bayern,07/2018,30,0.06333333452542624,0.5466666686038176
AfD_Bayern,06/2018,33,0.08484848633860097,0.800000009211627
AfD_Bayern,05/2018,31,0.016129033459771062,0.4612903306561132
AfD_Bayern,04/2018,30,0.010000000645716985,0.4233333356678486
AfD_Bayern,03/2018,43,0.08139535039663315,0.6069767424880073
AfD_Bayern,02/2018,39,0.13589743639414126,0.6769230822340037
AfD_Bayern,01/2018,27,0.13703703963094288,0.6518518496994619
AfD_Bayern,12/2017,11,0.1909090964631601,0.5818181857466698
AfD_Bayern,11/2017,152,0.10921052872742477,0.5157894747527806
AfD_Bayern,10/2017,224,0.10446428740397096,0.4674107175586479
AfD_Bayern,09/2017,302,0.12152318177831094,0.4923841090539828
