handle,month,tweet_count,average_score,average_magnitude
Alice_Weidel,12/2020,6,0.03333333507180214,0.650000004718701
Alice_Weidel,11/2020,6,0.18333333606521288,0.9666666885217031
Alice_Weidel,10/2020,6,0.18333333979050317,0.9833333293596903
Alice_Weidel,09/2020,5,0.0800000011920929,0.8199999988079071
Alice_Weidel,08/2020,5,0.020000000298023225,0.8199999764561653
Alice_Weidel,07/2020,3,0.1666666716337204,1.0
Alice_Weidel,06/2020,6,-0.033333333830038704,0.8166666515171528
Alice_Weidel,05/2020,4,0.32500000670552254,1.150000024586916
Alice_Weidel,04/2020,3,0.13333333532015482,0.5666666676600774
Alice_Weidel,03/2020,4,0.07500000111758709,0.5250000040978193
Alice_Weidel,02/2020,6,0.15000000471870104,0.9499999781449636
Alice_Weidel,01/2020,4,0.0,1.0999999940395355
Alice_Weidel,12/2019,4,0.05000000074505806,0.6749999970197678
Alice_Weidel,11/2019,11,0.1818181879141114,0.9909090914509513
Alice_Weidel,10/2019,8,0.1750000026077032,0.8374999966472387
Alice_Weidel,09/2019,7,0.11428571598870414,0.8285714324031558
Alice_Weidel,08/2019,4,0.10000000149011612,0.9750000201165676
Alice_Weidel,07/2019,7,0.01428571343421936,0.8999999974455152
Alice_Weidel,06/2019,7,0.2714285786662783,0.6857142874172756
Alice_Weidel,05/2019,7,0.18571429061038153,0.7714285807950156
Alice_Weidel,04/2019,8,0.0875000050291419,0.6125000007450581
Alice_Weidel,03/2019,8,0.2625000039115548,1.0000000074505806
Alice_Weidel,02/2019,8,0.08750000037252903,0.41250000707805157
Alice_Weidel,01/2019,10,0.24000000432133675,0.6799999997019768
Alice_Weidel,12/2018,7,0.08571428486279078,0.31428572216204237
Alice_Weidel,11/2018,7,0.24285714966910227,0.7428571581840515
Alice_Weidel,10/2018,7,0.30000000234161106,0.8142857274838856
Alice_Weidel,09/2018,12,0.11666666964689891,0.5666666695227226
Alice_Weidel,08/2018,8,0.30000000540167093,0.7874999940395355
Alice_Weidel,07/2018,7,0.2428571464759963,0.6285714315516608
Alice_Weidel,06/2018,8,0.36250001192092896,0.8250000067055225
Alice_Weidel,05/2018,11,0.10909091139381583,0.49090909280560235
Alice_Weidel,04/2018,9,0.14444444908036125,0.6777777820825577
Alice_Weidel,03/2018,11,0.1363636390729384,0.3090909164060246
Alice_Weidel,02/2018,12,0.1000000008692344,0.48333333618938923
Alice_Weidel,01/2018,19,0.16842105631765567,0.568421053651132
Alice_Weidel,12/2017,10,0.17000000327825546,0.5400000110268592
Alice_Weidel,11/2017,11,0.24545454843477768,0.46363637528636237
Alice_Weidel,10/2017,16,0.20625000493600965,0.5062500024214387
Alice_Weidel,09/2017,21,0.19523809814736956,0.5095238110848835
Alice_Weidel,08/2017,24,0.22916667070239782,0.5166666644314925
Alice_Weidel,07/2017,12,0.22500000397364298,0.699999992425243
Alice_Weidel,06/2017,7,0.1714285739830562,0.4142857225877898
Alice_Weidel,05/2017,8,-0.06250000093132257,0.2750000050291419
Alice_Weidel,04/2017,8,0.1500000050291419,0.3749999990686774
FraukePetry,12/2020,1,0.0,0.10000000149011612
FraukePetry,11/2020,23,0.05652173964873604,0.4086956521091254
FraukePetry,10/2020,21,0.11904762082156681,0.5714285746216774
FraukePetry,09/2020,12,0.041666666666666664,0.5750000023593506
FraukePetry,08/2020,10,0.09000000059604644,0.5499999977648258
FraukePetry,07/2020,9,0.055555554727713265,0.3444444520605935
FraukePetry,06/2020,9,0.1111111111111111,0.35555555837021935
FraukePetry,05/2020,5,0.2600000038743019,0.46000000536441804
FraukePetry,04/2020,2,-0.15000000596046448,0.15000000596046448
FraukePetry,03/2020,11,0.10000000352209265,0.47272727299820294
FraukePetry,02/2020,25,0.08800000101327896,0.5920000052452088
FraukePetry,01/2020,18,0.18333333730697632,0.47777778117193115
FraukePetry,12/2019,9,0.1111111127667957,0.7000000046359168
FraukePetry,11/2019,8,-0.02499999850988388,0.6750000091269612
FraukePetry,10/2019,2,-0.10000000521540642,0.45000001788139343
FraukePetry,09/2019,7,-0.05714285799435207,0.2000000040446009
FraukePetry,08/2019,24,0.06250000248352687,0.5833333376795053
FraukePetry,07/2019,13,0.13076922985223624,0.5000000011462432
FraukePetry,06/2019,9,0.13333333449231255,0.866666672958268
FraukePetry,05/2019,10,0.28000000193715097,0.5400000013411045
FraukePetry,04/2019,11,0.2363636392084035,0.8181818236004222
FraukePetry,03/2019,16,0.14375000214204192,0.7812500116415322
FraukePetry,02/2019,11,0.0818181803280657,0.5363636396147988
FraukePetry,01/2019,19,0.0526315785552326,0.6473684220721847
FraukePetry,12/2018,25,0.06800000190734863,0.5559999963641167
FraukePetry,11/2018,19,0.18947368781817586,0.6315789461920136
FraukePetry,10/2018,6,-0.06666666890184085,0.18333333730697632
FraukePetry,09/2018,25,0.1760000005364418,0.5680000001192093
FraukePetry,08/2018,8,0.21250000037252903,0.4749999986961484
FraukePetry,07/2018,7,0.2428571464759963,0.6000000057475907
FraukePetry,06/2018,25,0.17599999874830247,0.5439999967813491
FraukePetry,05/2018,19,0.0842105295313032,0.6842105290607402
FraukePetry,04/2018,11,0.05454545400359414,0.4545454592867331
FraukePetry,03/2018,14,-0.0071428583136626655,0.44285714413438526
FraukePetry,02/2018,26,0.13076923071191862,0.47307692382198113
FraukePetry,01/2018,13,0.053846155221645646,0.5384615436196327
FraukePetry,12/2017,6,0.11666666840513547,0.783333337555329
FraukePetry,11/2017,10,0.14000000283122063,0.42000000178813934
FraukePetry,10/2017,11,0.16363636539740997,0.6454545462673361
FraukePetry,09/2017,15,0.02000000129143397,0.2666666681567828
FraukePetry,08/2017,19,0.19473684304638914,0.4263157915127905
FraukePetry,07/2017,12,0.08333333705862363,0.3166666701436043
FraukePetry,06/2017,16,0.10000000428408384,0.5312500055879354
FraukePetry,05/2017,17,0.05882353116484249,0.28823529841268763
FraukePetry,04/2017,16,0.00624999962747097,0.28125000512227416
FraukePetry,03/2017,12,0.09166666803260644,0.27500000471870106
FraukePetry,02/2017,5,0.14000000357627868,0.14000000357627868
FraukePetry,01/2017,16,0.05000000074505806,0.18125000363215804
FraukePetry,12/2016,13,0.038461539607781633,0.3384615406394005
FraukePetry,11/2016,13,0.15384615785800493,0.4000000116916803
FraukePetry,10/2016,10,0.17000000476837157,0.5100000001490116
FraukePetry,09/2016,13,0.09999999977075137,0.33846154235876524
FraukePetry,08/2016,13,0.16923077060626104,0.31538462008421236
FraukePetry,07/2016,15,0.013333332041899364,0.273333340883255
FraukePetry,06/2016,14,0.17142857504742487,0.40000000329954283
FraukePetry,05/2016,23,0.15217391498710797,0.5565217377051063
FraukePetry,04/2016,13,0.14615385005107293,0.23076923535420343
FraukePetry,03/2016,13,0.04615384626847047,0.4230769265156526
FraukePetry,02/2016,7,0.014285714498588018,0.42857143389327185
FraukePetry,01/2016,9,0.022222222553359136,0.22222222718927595
FraukePetry,12/2015,13,0.23076922847674444,0.31538461435299653
FraukePetry,11/2015,19,0.26842105349427775,0.5631578992071905
FraukePetry,10/2015,10,-2.9802322387695314e-09,0.44000000059604644
FraukePetry,09/2015,15,0.14666666686534882,0.3266666680574417
FraukePetry,08/2015,12,0.06666666766007741,0.3583333355685075
FraukePetry,07/2015,24,0.06249999813735485,0.48333333370586234
FraukePetry,06/2015,34,0.06176470767925767,0.31176471206195217
FraukePetry,05/2015,4,0.05000000074505806,0.20000000670552254
FraukePetry,09/2013,1,0.10000000149011612,0.4000000059604645
FraukePetry,08/2013,1,0.0,1.2999999523162842
FraukePetry,05/2013,1,0.5,1.100000023841858
FraukePetry,04/2013,6,0.3333333432674408,0.683333353449901
FraukePetry,03/2013,1,0.0,0.20000000298023224
Beatrix_vStorch,12/2020,6,0.18333333854873976,1.1833333472410839
Beatrix_vStorch,11/2020,10,0.11000000312924385,0.9999999880790711
Beatrix_vStorch,10/2020,11,0.118181819265539,0.7909091067585078
Beatrix_vStorch,09/2020,14,0.12142857377018247,0.742857141154153
Beatrix_vStorch,08/2020,7,0.10000000255448478,1.2142857206719262
Beatrix_vStorch,07/2020,8,0.07500000111758709,0.3625000035390258
Beatrix_vStorch,06/2020,9,0.1111111127667957,0.6666666815678278
Beatrix_vStorch,05/2020,7,0.25714285778147833,0.942857142005648
Beatrix_vStorch,04/2020,9,0.15555555952919853,0.9777777824136946
Beatrix_vStorch,03/2020,7,0.15714286054883683,1.41428570662226
Beatrix_vStorch,02/2020,9,0.11111111525032255,0.8888888789547814
Beatrix_vStorch,01/2020,7,0.17142857504742487,1.0571428792817252
Beatrix_vStorch,12/2019,6,-0.01666666567325592,1.033333311478297
Beatrix_vStorch,11/2019,9,0.20000000463591683,1.2666666615340445
Beatrix_vStorch,10/2019,7,0.1000000046832221,1.1714285697255815
Beatrix_vStorch,09/2019,14,0.050000001809426715,0.7071428607617106
