handle,month,tweet_count
Rene_Springer,01/2019,6
Rene_Springer,12/2018,10
Rene_Springer,11/2018,24
Rene_Springer,10/2018,17
Rene_Springer,09/2018,10
Rene_Springer,08/2018,5
Rene_Springer,07/2018,10
Rene_Springer,06/2018,21
Rene_Springer,05/2018,14
Rene_Springer,04/2018,8
Rene_Springer,03/2018,7
Rene_Springer,02/2018,7
Rene_Springer,01/2018,9
Rene_Springer,12/2017,2
Rene_Springer,11/2017,2
Rene_Springer,08/2017,1
Rene_Springer,05/2017,1
BerndBaumannAfD,12/2020,2
BerndBaumannAfD,10/2020,1
BerndBaumannAfD,09/2020,3
BerndBaumannAfD,06/2020,1
BerndBaumannAfD,04/2020,4
BerndBaumannAfD,02/2020,1
BerndBaumannAfD,12/2019,2
BerndBaumannAfD,10/2019,1
BerndBaumannAfD,09/2019,2
StBrandner,12/2020,10
StBrandner,11/2020,16
StBrandner,10/2020,10
StBrandner,09/2020,15
StBrandner,08/2020,4
StBrandner,07/2020,2
StBrandner,06/2020,5
StBrandner,05/2020,5
StBrandner,04/2020,12
StBrandner,03/2020,18
StBrandner,02/2020,8
StBrandner,01/2020,6
StBrandner,12/2019,6
StBrandner,11/2019,14
StBrandner,10/2019,12
StBrandner,09/2019,15
StBrandner,08/2019,10
StBrandner,07/2019,8
StBrandner,06/2019,17
StBrandner,05/2019,12
StBrandner,04/2019,18
StBrandner,03/2019,35
StBrandner,02/2019,27
StBrandner,01/2019,40
StBrandner,12/2018,57
StBrandner,11/2018,71
StBrandner,10/2018,32
StBrandner,09/2018,47
StBrandner,08/2018,69
StBrandner,07/2018,18
StBrandner,06/2018,33
StBrandner,05/2018,27
StBrandner,04/2018,31
StBrandner,03/2018,34
StBrandner,02/2018,16
StBrandner,01/2018,17
StBrandner,12/2017,12
StBrandner,11/2017,10
StBrandner,10/2017,8
StBrandner,09/2017,17
StBrandner,08/2017,23
StBrandner,07/2017,10
StBrandner,06/2017,18
StBrandner,05/2017,11
StBrandner,04/2017,7
StBrandner,03/2017,6
StBrandner,02/2017,2
StBrandner,01/2017,4
StBrandner,12/2016,3
Leif_Erik_Holm,11/2020,3
Leif_Erik_Holm,10/2020,1
Leif_Erik_Holm,09/2020,1
Leif_Erik_Holm,08/2020,1
Leif_Erik_Holm,03/2020,2
Leif_Erik_Holm,01/2020,1
Leif_Erik_Holm,10/2019,1
Leif_Erik_Holm,09/2019,1
Leif_Erik_Holm,08/2019,1
Leif_Erik_Holm,07/2019,2
Leif_Erik_Holm,06/2019,4
Leif_Erik_Holm,05/2019,3
Leif_Erik_Holm,03/2019,5
Leif_Erik_Holm,02/2019,1
Leif_Erik_Holm,01/2019,3
Leif_Erik_Holm,12/2018,7
Leif_Erik_Holm,11/2018,13
Leif_Erik_Holm,10/2018,1
Leif_Erik_Holm,09/2018,4
Leif_Erik_Holm,08/2018,5
Leif_Erik_Holm,07/2018,9
Leif_Erik_Holm,06/2018,8
Leif_Erik_Holm,05/2018,4
Leif_Erik_Holm,04/2018,2
Leif_Erik_Holm,03/2018,10
Leif_Erik_Holm,02/2018,2
Leif_Erik_Holm,01/2018,1
Leif_Erik_Holm,12/2017,3
Leif_Erik_Holm,11/2017,1
Leif_Erik_Holm,10/2017,1
Leif_Erik_Holm,09/2017,2
Leif_Erik_Holm,06/2017,1
Leif_Erik_Holm,09/2016,5
DrMEspendiller,12/2020,1
DrMEspendiller,11/2020,3
DrMEspendiller,10/2020,10
DrMEspendiller,08/2020,1
DrMEspendiller,06/2020,1
DrMEspendiller,05/2020,3
DrMEspendiller,04/2020,4
DrMEspendiller,03/2020,7
DrMEspendiller,02/2020,3
DrMEspendiller,01/2020,1
DrMEspendiller,11/2019,1
DrMEspendiller,10/2019,4
DrMEspendiller,09/2019,2
DrMEspendiller,08/2019,2
DrMEspendiller,07/2019,2
DrMEspendiller,06/2019,1
DrMEspendiller,05/2019,1
DrMEspendiller,04/2019,1
DrMEspendiller,12/2018,1
DrMEspendiller,11/2018,1
DrMEspendiller,10/2018,1
DrMEspendiller,08/2018,1
DrMEspendiller,07/2018,1
DrMEspendiller,06/2018,3
DrMEspendiller,05/2018,1
DrMEspendiller,03/2018,1
DrMEspendiller,01/2018,3
DrMEspendiller,11/2017,1
DrMEspendiller,09/2017,2
DrMEspendiller,08/2017,7
DrMEspendiller,07/2017,3
JoanaCotar,12/2020,5
JoanaCotar,11/2020,11
JoanaCotar,10/2020,30
JoanaCotar,09/2020,7
JoanaCotar,08/2020,7
JoanaCotar,07/2020,11
JoanaCotar,06/2020,3
JoanaCotar,05/2020,3
JoanaCotar,04/2020,6
JoanaCotar,03/2020,10
JoanaCotar,02/2020,5
