handle,month,tweet_count,score,magnitude
AfD,12/2020,6,0.10000000149011612,2.700000047683716
AfD,11/2020,7,0.10000000149011612,5.199999809265137
AfD,10/2020,19,0.10000000149011612,12.0
AfD,09/2020,30,0.0,14.600000381469727
AfD,08/2020,13,0.0,4.199999809265137
AfD,07/2020,6,0.30000001192092896,5.800000190734863
AfD,06/2020,5,0.0,3.0
AfD,05/2020,10,0.0,6.300000190734863
AfD,04/2020,14,0.0,5.300000190734863
AfD,03/2020,19,0.10000000149011612,12.300000190734863
AfD,04/2018,1,-0.20000000298023224,0.800000011920929
AfDimEUParl,12/2020,9,0.0,4.5
AfDimEUParl,11/2020,5,0.0,2.4000000953674316
AfDimEUParl,10/2020,16,0.10000000149011612,7.099999904632568
AfDimEUParl,09/2020,13,0.10000000149011612,6.900000095367432
AfDimEUParl,08/2020,5,0.10000000149011612,2.200000047683716
AfDimEUParl,07/2020,3,0.0,1.0
AfDimEUParl,06/2020,2,0.0,2.200000047683716
AfDimEUParl,05/2020,5,0.10000000149011612,2.700000047683716
AfDimEUParl,04/2020,7,0.20000000298023224,5.099999904632568
AfDimEUParl,03/2020,7,0.0,2.0
AfDimEUParl,02/2020,4,0.10000000149011612,2.4000000953674316
AfDimEUParl,01/2020,2,0.0,1.399999976158142
AfDimEUParl,11/2019,1,0.10000000149011612,0.30000001192092896
AfDimEUParl,10/2019,6,0.10000000149011612,5.5
AfDimEUParl,09/2019,1,0.0,1.7999999523162842
AfDimEUParl,07/2019,1,0.0,0.4000000059604645
AfDimEUParl,11/2018,2,0.30000001192092896,1.100000023841858
AfDimEUParl,08/2018,1,0.10000000149011612,0.8999999761581421
AfD_Bayern,12/2020,8,-0.20000000298023224,2.5999999046325684
AfD_Bayern,11/2020,9,0.0,5.099999904632568
AfD_Bayern,10/2020,27,0.10000000149011612,12.5
AfD_Bayern,09/2020,19,0.10000000149011612,8.100000381469727
AfD_Bayern,08/2020,11,0.0,4.099999904632568
AfD_Bayern,07/2020,12,0.10000000149011612,6.400000095367432
AfD_Bayern,06/2020,10,0.10000000149011612,3.5999999046325684
AfD_Bayern,05/2020,7,0.10000000149011612,3.5
AfD_Bayern,04/2020,14,0.10000000149011612,5.099999904632568
AfD_Bayern,03/2020,35,0.10000000149011612,16.399999618530273
AfD_Bayern,02/2020,20,0.10000000149011612,7.800000190734863
AfD_Bayern,01/2020,14,0.10000000149011612,5.800000190734863
AfD_Bayern,12/2019,12,0.0,5.300000190734863
AfD_Bayern,11/2019,17,0.10000000149011612,8.399999618530273
AfD_Bayern,10/2019,12,0.0,5.0
AfD_Bayern,09/2019,12,0.10000000149011612,4.800000190734863
AfD_Bayern,08/2019,10,0.0,4.199999809265137
AfD_Bayern,07/2019,18,0.0,7.199999809265137
AfD_Bayern,06/2019,11,0.10000000149011612,4.300000190734863
AfD_Bayern,05/2019,29,0.10000000149011612,17.5
AfD_Bayern,04/2019,16,0.10000000149011612,8.899999618530273
AfD_Bayern,03/2019,28,0.0,13.0
AfD_Bayern,02/2019,17,0.0,9.300000190734863
