handle,month,tweet_count,score,magnitude
Alice_Weidel,11/2020,2,0.10000000149011612,1.7999999523162842
Alice_Weidel,10/2020,7,0.20000000298023224,8.0
Alice_Weidel,09/2020,5,0.10000000149011612,5.5
Alice_Weidel,08/2020,6,0.0,4.400000095367432
Alice_Weidel,07/2020,6,0.10000000149011612,4.599999904632568
Alice_Weidel,06/2020,4,0.20000000298023224,4.5
Alice_Weidel,05/2020,1,0.20000000298023224,0.5
Alice_Weidel,04/2020,1,0.4000000059604645,1.600000023841858
Alice_Weidel,03/2020,9,0.20000000298023224,10.199999809265137
Alice_Weidel,02/2020,5,0.0,3.9000000953674316
Alice_Weidel,01/2020,2,0.20000000298023224,2.200000047683716
Alice_Weidel,12/2019,4,0.10000000149011612,1.399999976158142
Alice_Weidel,11/2019,14,0.10000000149011612,10.399999618530273
Alice_Weidel,10/2019,3,0.10000000149011612,1.7999999523162842
Alice_Weidel,09/2019,10,0.0,8.399999618530273
Alice_Weidel,08/2019,10,0.10000000149011612,9.100000381469727
Alice_Weidel,07/2019,12,0.0,11.199999809265137
Alice_Weidel,06/2019,9,0.10000000149011612,5.300000190734863
Alice_Weidel,05/2019,4,0.10000000149011612,1.7000000476837158
Alice_Weidel,04/2019,6,0.20000000298023224,4.0
Alice_Weidel,03/2019,12,0.20000000298023224,9.199999809265137
Alice_Weidel,02/2019,7,0.30000001192092896,5.400000095367432
Alice_Weidel,01/2019,11,0.10000000149011612,7.0
Alice_Weidel,12/2018,10,0.20000000298023224,5.699999809265137
Alice_Weidel,11/2018,22,0.10000000149011612,15.0
Alice_Weidel,10/2018,13,0.10000000149011612,6.900000095367432
Alice_Weidel,09/2018,11,0.10000000149011612,5.699999809265137
Alice_Weidel,08/2018,19,0.10000000149011612,10.100000381469727
Alice_Weidel,07/2018,19,0.10000000149011612,7.300000190734863
Alice_Weidel,06/2018,17,0.10000000149011612,7.900000095367432
Alice_Weidel,05/2018,16,0.10000000149011612,8.800000190734863
Alice_Weidel,04/2018,11,0.10000000149011612,7.099999904632568
Alice_Weidel,03/2018,16,0.10000000149011612,5.699999809265137
Alice_Weidel,02/2018,16,0.0,7.400000095367432
Alice_Weidel,01/2018,16,0.10000000149011612,7.400000095367432
Alice_Weidel,12/2017,6,0.10000000149011612,4.199999809265137
Alice_Weidel,11/2017,9,0.0,4.699999809265137
Alice_Weidel,10/2017,5,0.10000000149011612,1.7999999523162842
Alice_Weidel,09/2017,11,0.20000000298023224,5.800000190734863
Alice_Weidel,08/2017,16,0.10000000149011612,5.800000190734863
Alice_Weidel,07/2017,3,0.0,1.2000000476837158
Alice_Weidel,05/2017,3,0.0,0.5
Alice_Weidel,04/2017,1,-0.30000001192092896,0.30000001192092896
FraukePetry,12/2020,1,0.20000000298023224,0.8999999761581421
FraukePetry,11/2020,1,-0.5,0.5
FraukePetry,10/2020,3,0.20000000298023224,3.299999952316284
FraukePetry,09/2020,3,0.10000000149011612,1.399999976158142
FraukePetry,04/2020,1,0.10000000149011612,0.699999988079071
FraukePetry,03/2020,4,0.10000000149011612,1.2000000476837158
FraukePetry,02/2020,1,0.0,0.699999988079071
FraukePetry,01/2020,2,0.10000000149011612,1.399999976158142
FraukePetry,12/2019,1,-0.10000000149011612,0.10000000149011612
FraukePetry,11/2019,1,0.0,0.0
FraukePetry,10/2019,1,-0.10000000149011612,0.4000000059604645
FraukePetry,08/2019,3,0.20000000298023224,2.5
FraukePetry,07/2019,1,0.10000000149011612,1.100000023841858
FraukePetry,05/2019,1,-0.10000000149011612,0.8999999761581421
FraukePetry,04/2019,1,0.0,0.20000000298023224
FraukePetry,03/2019,1,-0.20000000298023224,0.4000000059604645
FraukePetry,02/2019,2,0.0,1.0
FraukePetry,01/2019,2,0.30000001192092896,2.0999999046325684
