handle,month,tweet_count,score,magnitude
AfD,12/2020,31,0.10000000149011612,15.699999809265137
AfD,11/2020,31,0.10000000149011612,17.700000762939453
AfD,10/2020,48,0.10000000149011612,23.700000762939453
AfD,09/2020,48,0.0,21.700000762939453
AfD,08/2020,36,0.0,11.600000381469727
AfD,07/2020,26,0.10000000149011612,9.399999618530273
AfD,06/2020,41,0.10000000149011612,17.600000381469727
AfD,05/2020,40,0.0,18.899999618530273
AfD,04/2020,33,0.10000000149011612,12.300000190734863
AfD,03/2020,42,0.0,14.399999618530273
AfD,09/2019,1,0.30000001192092896,1.0
AfD,09/2017,15,0.30000001192092896,15.100000381469727
AfD,08/2017,3,0.10000000149011612,1.899999976158142
AfD,05/2017,1,0.30000001192092896,0.30000001192092896
AfD,03/2013,1,0.0,0.0
AfD,01/2013,1,0.0,0.4000000059604645
AfDimEUParl,12/2020,8,0.0,4.599999904632568
AfDimEUParl,11/2020,11,0.10000000149011612,6.5
AfDimEUParl,10/2020,13,0.0,4.300000190734863
AfDimEUParl,09/2020,12,0.0,6.5
AfDimEUParl,08/2020,4,0.0,0.699999988079071
AfDimEUParl,07/2020,11,0.10000000149011612,6.800000190734863
AfDimEUParl,06/2020,7,0.0,2.5999999046325684
AfDimEUParl,05/2020,9,0.0,4.099999904632568
AfDimEUParl,04/2020,6,0.10000000149011612,4.800000190734863
AfDimEUParl,03/2020,6,0.20000000298023224,4.5
AfDimEUParl,02/2020,6,0.10000000149011612,3.0999999046325684
AfDimEUParl,01/2020,7,0.10000000149011612,5.199999809265137
AfDimEUParl,12/2019,4,0.10000000149011612,1.2000000476837158
AfDimEUParl,11/2019,4,0.20000000298023224,4.0
AfDimEUParl,10/2019,10,0.10000000149011612,10.699999809265137
AfDimEUParl,09/2019,4,0.10000000149011612,3.4000000953674316
AfDimEUParl,08/2019,1,0.4000000059604645,0.4000000059604645
AfDimEUParl,07/2019,2,0.10000000149011612,0.30000001192092896
AfDimEUParl,06/2019,1,0.20000000298023224,0.6000000238418579
AfDimEUParl,04/2019,1,0.30000001192092896,0.699999988079071
AfDimEUParl,03/2019,1,0.30000001192092896,0.6000000238418579
AfDimEUParl,01/2019,1,0.0,0.0
AfDimEUParl,12/2018,1,0.10000000149011612,0.10000000149011612
AfDimEUParl,11/2018,1,0.20000000298023224,0.8999999761581421
AfDimEUParl,10/2018,4,0.10000000149011612,2.5999999046325684
AfDimEUParl,09/2018,3,0.0,0.20000000298023224
AfDimEUParl,08/2018,1,0.0,0.0
AfDimEUParl,07/2018,1,0.30000001192092896,1.100000023841858
AfDimEUParl,06/2018,1,-0.10000000149011612,0.10000000149011612
AfD_Bayern,12/2020,58,0.10000000149011612,28.600000381469727
AfD_Bayern,11/2020,61,0.10000000149011612,27.700000762939453
AfD_Bayern,10/2020,39,0.10000000149011612,17.600000381469727
AfD_Bayern,09/2020,41,0.10000000149011612,20.899999618530273
AfD_Bayern,08/2020,49,0.0,19.200000762939453
AfD_Bayern,07/2020,37,0.0,19.399999618530273
AfD_Bayern,06/2020,46,0.10000000149011612,21.700000762939453
AfD_Bayern,05/2020,38,0.10000000149011612,15.0
AfD_Bayern,04/2020,42,0.10000000149011612,21.100000381469727
AfD_Bayern,03/2020,77,0.0,35.599998474121094
AfD_Bayern,02/2020,65,0.0,25.700000762939453
AfD_Bayern,01/2020,51,0.10000000149011612,24.899999618530273
AfD_Bayern,12/2019,39,0.10000000149011612,18.0
AfD_Bayern,11/2019,29,0.10000000149011612,14.0
AfD_Bayern,10/2019,32,0.0,14.100000381469727
AfD_Bayern,09/2019,26,0.0,9.800000190734863
AfD_Bayern,08/2019,23,0.10000000149011612,9.300000190734863
AfD_Bayern,07/2019,33,0.10000000149011612,18.299999237060547
AfD_Bayern,06/2019,27,0.10000000149011612,15.600000381469727
AfD_Bayern,05/2019,27,0.10000000149011612,11.5
AfD_Bayern,04/2019,31,0.10000000149011612,13.600000381469727
AfD_Bayern,03/2019,31,0.10000000149011612,14.399999618530273
AfD_Bayern,02/2019,33,0.10000000149011612,15.600000381469727
AfD_Bayern,01/2019,48,0.10000000149011612,25.799999237060547
AfD_Bayern,12/2018,27,0.10000000149011612,11.899999618530273
AfD_Bayern,11/2018,23,0.0,11.199999809265137
AfD_Bayern,10/2018,61,0.10000000149011612,46.29999923706055
AfD_Bayern,09/2018,53,0.10000000149011612,35.29999923706055
AfD_Bayern,08/2018,31,0.10000000149011612,20.100000381469727
AfD_Bayern,07/2018,30,0.10000000149011612,17.700000762939453
AfD_Bayern,06/2018,33,0.10000000149011612,27.899999618530273
AfD_Bayern,05/2018,31,0.0,15.699999809265137
AfD_Bayern,04/2018,30,0.0,14.100000381469727
AfD_Bayern,03/2018,43,0.10000000149011612,28.399999618530273
AfD_Bayern,02/2018,39,0.20000000298023224,28.299999237060547
AfD_Bayern,01/2018,27,0.20000000298023224,18.899999618530273
AfD_Bayern,12/2017,11,0.10000000149011612,7.0
AfD_Bayern,11/2017,152,0.10000000149011612,86.30000305175781
AfD_Bayern,10/2017,224,0.10000000149011612,115.5999984741211
AfD_Bayern,09/2017,302,0.10000000149011612,163.1999969482422
AfD_Bayern,08/2017,182,0.10000000149011612,99.69999694824219
AfD_Bayern,07/2017,206,0.10000000149011612,122.69999694824219
AfD_Bayern,06/2017,41,0.10000000149011612,25.0
AfD_Bayern,05/2017,1,0.0,0.0
AfD_Bayern,03/2017,2,0.10000000149011612,0.8999999761581421
AfD_Bayern,02/2017,4,0.30000001192092896,2.9000000953674316
